syscheck.event,syscheck.path,syscheck.attrs_after,syscheck.changed_attributes,syscheck.size_before,syscheck.size_after,syscheck.mtime_before,syscheck.mtime_after,syscheck.md5_before,syscheck.md5_after,syscheck.uid_after,syscheck.uname_after,syscheck.arch,agent.name,@timestamp
modified,C:\ProgramData\job.csv,"read,write,archive",size,1864398,2162846,"May 16, 2025 @ 14:35:36","May 16, 2025 @ 14:48:15",e56cde697f5afec70c9f98bc512586c668bf728abfb4644174a6abd8756e55e5,486a588ff260f5690eeb744df7c82dfd698e92320c09519788c5c2572936407b,4996,User3,AMD64,WIN-LAPTOP,"May 23, 2025 @ 19:09:49.644"
deleted,C:\Windows\Temp\theory.txt,"read,hidden",mode,1087910,623471,"May 12, 2025 @ 20:14:08","May 12, 2025 @ 21:07:39",b4d949b879677f0fa64b4593ce464c045d51d2362fbf50400951624be81c1595,3dd00e56462dbbaf345290636bcd64ad54d359b52118e6d78a55fd64914952fb,6427,Guest,AMD64,LAPTOP-1234,"May 23, 2025 @ 20:55:57.250"
modified,C:\Users\User2\Desktop\money.pdf,"system,archive,exec,hidden","group,mode",622717,631813,"May 04, 2025 @ 21:32:47","May 04, 2025 @ 22:28:15",51d1a9e791296f9615fcc8a5e1ddddb7727ae05665e729eeacf93fd3f43f454c,e8a7b3f1cf5fc969296a5e287328fd6e1afa28648838178b1b26e943ea0c601d,9467,Admin,AMD64,WIN-LAPTOP,"May 08, 2025 @ 10:43:54.107"
deleted,C:\Users\Guest\Documents\later.xlsx,"hidden,archive,exec,write","size,group",1877090,2375032,"May 02, 2025 @ 14:52:53","May 02, 2025 @ 15:33:12",9820739ca8715438fce16078f4835bf397070beac46d9aa5124c47453292addb,cbad551a7a4f790f9ab735771b30c39b,4799,Admin,x86,DESKTOP-ALPHA,"May 07, 2025 @ 06:37:08.711"
deleted,C:\Windows\Temp\officer.exe,"write,exec",mtime,931235,1226688,"May 02, 2025 @ 10:48:15","May 02, 2025 @ 10:58:04",627f59dd484237f42eae68c679afe678,ae7e43785756ca39ddabb1b477662d6ce7b5a76c86eb189e8528e3495baaf3e6,6221,Admin,x86_64,WIN-LAPTOP,"May 19, 2025 @ 05:43:12.628"
modified,C:\Windows\System32\six.csv,"exec,read,hidden,system","owner,group",785016,913149,"May 10, 2025 @ 10:43:49","May 10, 2025 @ 11:10:37",66d1cde6ad73b28d0ee0e6ddfdc01cc23149740a1077a7bca0d73f800d1a3b0b,965e125b15f6bccb90450c9b300ff2a7c0044276f9976a21ea3eb43a2d53ba10,8047,User5,x86_64,PC-GAMER,"May 07, 2025 @ 16:47:17.966"
added,C:\Users\Project\Documents\beyond.dll,"hidden,archive,exec,read","owner,group",1858752,1362428,"May 29, 2025 @ 21:36:15","May 29, 2025 @ 21:44:08",070262540079b4bd1db3475bb76522d3b55fbb9b42d9ec9e25f489e32fc18886,c32c745afbee7fb69d1d831b007c575027a0435aef94ed237708d1433a886973,4893,Admin,arm64,HOME-PC,"May 05, 2025 @ 12:39:00.158"
modified,C:\Users\Project\Documents\avoid.bat,"write,exec,system",mode,1639458,1171892,"May 22, 2025 @ 07:37:31","May 22, 2025 @ 08:25:16",ffd8bcc9f150873716cca9bd94424a4ce81052120d069f5a5ef37c92ce5c94a4,491b8d68ba12b3854a1f78e7adcde7e18f32f632ccccc04a6b405221ca030102,8229,User5,x86,DESKTOP-ALPHA,"May 03, 2025 @ 23:30:45.343"
deleted,C:\ProgramData\the.xlsx,"hidden,read,write,exec",mtime,731470,721126,"May 02, 2025 @ 14:42:46","May 02, 2025 @ 15:20:50",a901a8721264f60964df25025ce60cc5,fa7244620778f414d9f80cb3fe1c6d4da464a4b8eb10863388d73393ccc9d7a8,1266,Admin,AMD64,SERVER-BETA,"May 20, 2025 @ 20:44:31.969"
added,C:\Users\User2\Desktop\official.dll,"exec,read",owner,456713,448362,"May 28, 2025 @ 03:24:21","May 28, 2025 @ 03:58:19",5b8039f12b4dcdec6733da7465cc36f87ad32826644e47b2cd13e6a1218a6521,cc18761f09b08a84f0ee30328fdc47e3,5470,System,AMD64,SERVER-001,"May 30, 2025 @ 17:52:20.488"
deleted,C:\Users\Guest\Documents\contain.zip,"exec,archive","group,owner",654982,1066868,"May 07, 2025 @ 15:37:56","May 07, 2025 @ 15:44:20",6662dc7c49be1ca13240a37abd9025f8c2323d8d215b433892fb82f476fc3cc0,f317daea3e924269c6d1574e43ebf2e3,5231,Admin,arm64,SERVER-001,"May 29, 2025 @ 16:58:08.723"
deleted,E:\Data\school.exe,"write,archive,hidden",mode,1184074,1142709,"May 07, 2025 @ 18:24:11","May 07, 2025 @ 18:24:36",d91bc24a86aa78300e915931b2d968fe,4b1f9a74aecbc0e0a6a1968f6cf7f8699409b596a1f9a0dd34bd6f542c4efa95,3163,User1,AMD64,LAPTOP-1234,"May 10, 2025 @ 14:59:22.914"
added,C:\Windows\Temp\prevent.docx,"system,archive,read","mtime,owner",1618539,1967992,"May 05, 2025 @ 07:03:26","May 05, 2025 @ 07:44:03",6cc3f6f357c0b68382ea07b09c9b68f2cbeb48bcae2122785d7087833de916ad,b6edc6d7d7eaa1bd470647edffa494c86ab679114c66772639aa7f1c9fd3dd1d,6203,Project,AMD64,DESKTOP-XYZ,"May 31, 2025 @ 16:11:29.000"
deleted,D:\Work\yet.exe,"write,exec,read","owner,size",596918,146109,"May 05, 2025 @ 02:32:38","May 05, 2025 @ 03:21:01",1fd994d419d6a0d9fc3a4859006b89d9c58c151e1016925af8da0669eb80fab0,5274df3a903572d12626dfa0f1093b5bd3e2d1a69920dd7eb0443f8fdfcfb385,1160,Project,x86,WIN-LAPTOP,"May 10, 2025 @ 17:17:10.519"
deleted,D:\Work\too.csv,"hidden,write",mtime,1954248,2361884,"May 07, 2025 @ 21:53:32","May 07, 2025 @ 21:56:48",0ba478c4e1181118c5239a17b15ea6e95d037d2794948a44187d4dc996c5482f,ab81aadf5047d716fb88c8d78c10a54dad707283158027927186181fd4e11b8c,2475,User1,AMD64,HOME-PC,"May 02, 2025 @ 07:43:41.352"
added,E:\Data\second.zip,"exec,system,write,archive",mtime,1550832,1071774,"May 07, 2025 @ 04:08:24","May 07, 2025 @ 04:36:31",a1df098677899f2ae0226a141733deb076ad2e52887d121943e8cab12352bdb5,e071fdfb394e42abcb22fe5e67dd95bed7cfe44a4d119e9cd97dedb4b8cba2bb,5139,User6,x86_64,DESKTOP-5JEIKFF,"May 29, 2025 @ 00:47:28.056"
modified,C:\Users\Public\Videos\use.xlsx,"write,read,hidden",mode,647456,596875,"May 30, 2025 @ 02:46:04","May 30, 2025 @ 02:59:50",9d02078a1957860f61c863d67261b38c,9adf47ea79b3587680fcba8cf820b24d,3315,Project,AMD64,SERVER-BETA,"May 07, 2025 @ 20:58:29.760"
deleted,C:\Users\User1\Downloads\production.zip,"write,read","group,mode",1471110,1466977,"May 14, 2025 @ 10:28:35","May 14, 2025 @ 11:10:54",d0b72ccd9384e03dd22baa3ce1f5c69cacc1924a40900d99e730e1d65fc45c58,e8dc73f1541619ee813afb02785252a33efbbc257fddd128afa9f6307fe21c71,6978,User2,x86_64,SERVER-001,"May 20, 2025 @ 15:24:36.347"
added,C:\ProgramData\night.dll,"read,system",size,104219,342276,"May 11, 2025 @ 14:25:08","May 11, 2025 @ 14:35:42",2a400553dc549cab50a112dfb46f82efd2d08f59bed6dd3144d92c5843010a2e,5805fb3671a261ebaca8902992ca347e79348119a9cad37717cbd9dfa236ff5b,3228,User6,AMD64,SERVER-001,"May 08, 2025 @ 01:35:51.358"
deleted,C:\ProgramData\we.csv,"write,system,exec,read",owner,365222,725268,"May 02, 2025 @ 10:15:25","May 02, 2025 @ 10:57:34",4fd7ef06ca44996b49c347a925b1cff767b372ca3505eaaeb509007e3998585b,6b654bb5c5fc8b3efd2192e3bab500541c36db909cb7985371745e5b61cea304,1325,Admin,AMD64,LAPTOP-1234,"May 17, 2025 @ 23:27:51.342"
modified,C:\Users\Guest\Documents\soon.docx,"read,exec,system,write",group,429513,1,"May 12, 2025 @ 16:46:05","May 12, 2025 @ 16:51:00",cb85578886e1ad59c351ac750023c37636c81e498d1022da74e855b646c52829,0a02f5563029741fb77ae3787d1cfb2f2bbf216eb3b59e8667d001fcd4df7e11,1519,User3,AMD64,LAPTOP-1234,"May 25, 2025 @ 19:43:38.208"
modified,C:\Windows\Temp\century.pdf,"hidden,read,system",owner,1266112,1163215,"May 23, 2025 @ 13:17:21","May 23, 2025 @ 14:00:20",ee4c0332329c908ef37b3ec73ef0b74bf6a03a58d5e65b96ddce232b486cc24e,37cc69f8ec41f629ca63e8f7113ff82544b8fae60f4adf3430034c90ec8bdf98,5779,User1,AMD64,LAPTOP-1234,"May 09, 2025 @ 14:12:14.235"
modified,C:\Users\Public\Videos\financial.xlsx,"hidden,write",mtime,857408,713148,"May 04, 2025 @ 17:15:38","May 04, 2025 @ 17:53:58",be32cc8d6f03d130e7b9df327f0446c3dc3a8f47d47731042c557192102806c7,5681f07ea6a0c508444067952ae55fa4b83a39c64e9940c36e39efaf82946275,1692,Admin,AMD64,LAPTOP-1234,"May 17, 2025 @ 03:55:42.180"
deleted,C:\Users\User2\Desktop\military.xlsx,"archive,hidden,system",mtime,35205,393908,"May 27, 2025 @ 10:38:04","May 27, 2025 @ 10:43:53",f288b424b6c948c69b1070bce80a0b3a974e4c566ec7438b0c497248c66087a7,3d482374e500f44496a962fa3dd8c42156b338c612dcf849c36d8a9c213ea6bd,8622,User1,x86_64,WORKSTATION-01,"May 14, 2025 @ 14:50:32.987"
added,C:\Windows\System32\color.pdf,"exec,hidden,archive",size,525820,666870,"May 15, 2025 @ 20:50:06","May 15, 2025 @ 21:07:20",8cb8473caff1969556a1f4a91fb0d4f683cd04d0b08630a1a9ab1be8b59df6e1,9c0a119afc62b9e95644c12df33efa7253003ba55bd9675632e2134c66bd539d,9296,User6,x86,WIN-LAPTOP,"May 08, 2025 @ 18:51:52.073"
modified,C:\Windows\Temp\read.bat,"hidden,exec","mode,group",1727047,1595138,"May 16, 2025 @ 22:56:35","May 16, 2025 @ 23:38:49",d4a1a4e2a5e8c4f2b2610f0bea90f82e8c32b0c4c8229109b381da29a6769147,fe40b0d8df16a08d704ae86411804e96e2db7075aea96b1d812e9b71a3398119,2273,System,x86,WORKSTATION-01,"May 05, 2025 @ 03:54:11.678"
added,D:\Work\still.pdf,"read,archive",group,1295850,833395,"May 28, 2025 @ 20:44:56","May 28, 2025 @ 21:04:54",f0309dce282abac5d64c1d09bc68edda628bdcc60af55fac5d16f7f848b784a1,952092aad877fab65b6cca4bb849f54d70b49f4771cc664717d9d9e14ed94149,7219,User1,arm64,WORKSTATION-01,"May 12, 2025 @ 16:32:16.152"
deleted,E:\Data\social.jpg,"hidden,read","mode,owner",1530550,1054512,"May 23, 2025 @ 09:45:43","May 23, 2025 @ 10:23:02",86035a7b6e09380c5ce506f56f5b163e020caef64d89cfa513cb7782fef98207,dc24b8b05fcb5861f76c20aca21493c3,3699,User3,AMD64,HOME-PC,"May 27, 2025 @ 08:29:36.297"
deleted,C:\Users\User2\Desktop\already.zip,"read,hidden,exec","mtime,group",1380314,1161542,"May 12, 2025 @ 17:58:46","May 12, 2025 @ 18:19:51",d4f2f5dc96436eb85bacc6548340185e16f3f0635c031f15ac047d9c77d0e8fc,76af89a4db73b7cf830cde363f67d9b1a1969de970692d7bc17fd88a9ff47d0f,1653,User1,x86_64,PC-GAMER,"May 09, 2025 @ 01:16:02.264"
modified,C:\Users\Public\Videos\character.jpg,"archive,hidden","mtime,group",1834137,1733582,"May 15, 2025 @ 02:00:56","May 15, 2025 @ 02:20:11",56e66ec974534db6d1b37405162514a63f923ef11d64822df177969199407ead,65d2dca1f0f3740e6a578adb78781744,4111,User2,x86,WORKSTATION-01,"May 26, 2025 @ 15:35:44.651"
deleted,C:\Users\Public\Videos\power.csv,"hidden,system,exec,write","owner,mode",894733,595725,"May 14, 2025 @ 12:21:13","May 14, 2025 @ 12:48:49",6c207e468ad5cc1fc4641c76a00c2bc85752c63e4377a44806b0bf85b9b1f566,ffc38da8d9e1c2b774ea2ebe51fb9fc5,5794,User2,arm64,DESKTOP-XYZ,"May 30, 2025 @ 01:32:45.139"
modified,C:\Users\User2\Desktop\spring.jpg,"read,write",size,620182,706011,"May 03, 2025 @ 21:25:15","May 03, 2025 @ 22:06:03",061b044aa1f37b18e790a3d1f7f6f8e200dafa11315e4277c61ca2848d4f66f8,a2969cbc1e3befff79d2532e571d45d16a1967682ca4ccb0386b1fe2548cb90c,3962,Project,arm64,DESKTOP-ALPHA,"May 16, 2025 @ 01:51:50.340"
modified,E:\Data\study.xlsx,"system,read","size,group",348787,575896,"May 10, 2025 @ 00:29:05","May 10, 2025 @ 00:38:08",ecf3b3e9086b4288836561c94160f784d0bdfdcea11044f4909b196530ee5479,a3e5120b2832f1bbe8efa8b549a5ac6b,5882,Guest,arm64,HOME-PC,"May 23, 2025 @ 19:26:07.043"
modified,C:\Users\Guest\Documents\fill.csv,"exec,system,read",size,1271008,1753574,"May 02, 2025 @ 17:17:12","May 02, 2025 @ 17:33:08",39b339661b18903c927f3d788dc9a625b65d432dd279d52c40dd06390bf85273,391b4dd3eb9294f7e5603a62287d0ad5492f1fef7ffc979c9ea9d88bb4bfd11b,9716,System,arm64,LAPTOP-1234,"May 08, 2025 @ 20:15:14.844"
added,C:\ProgramData\player.txt,"system,archive,read,hidden",owner,1885580,1654451,"May 22, 2025 @ 18:10:01","May 22, 2025 @ 18:52:24",94c60cb209627fd89293cbdbfbc669955a75c27f5fed93203ad6f9a720a9c96e,ba1ff9c0e7949eb0221a50dff0e01b5cb0612aef231f088bb66e8d6e39f5ae21,8567,Project,x86_64,SERVER-001,"May 16, 2025 @ 22:56:34.942"
added,C:\Users\Project\Documents\eight.exe,"system,archive",group,1504574,1755434,"May 04, 2025 @ 23:50:28","May 05, 2025 @ 00:05:46",c18c118998c553222eae5be4921dacdf37008eea39f979b1f03b1d284574b0a1,c0b82798b962b218cad7665c9678f3da9df728172856b50a7d3966385cb3c448,6362,User2,x86,PC-GAMER,"May 15, 2025 @ 16:30:31.122"
deleted,C:\ProgramData\position.exe,"hidden,exec",mode,395549,654031,"May 20, 2025 @ 19:31:06","May 20, 2025 @ 20:19:46",4b6f92ca5b6f1f644424d8cffc77ada1f09a29a9403f9792760feb7200f34cdf,4c1e5dfe4e16b01f1222c6f7d935e80cc2408651ab8aff3f7c5003eede497d22,9765,System,AMD64,LAPTOP-1234,"May 17, 2025 @ 11:36:14.344"
deleted,C:\Users\Guest\Documents\sort.csv,"read,archive",size,1971820,1719850,"May 11, 2025 @ 21:37:07","May 11, 2025 @ 21:56:26",7424c8b35b1dd8e8d3620d5dd4a0f2e06c356166bbf1be0287db445c2ac19270,05cba29e0540abf49dfd994d4f3257fafa8216297b06b955d97ec97b2d62d2df,5368,User1,x86,DESKTOP-5JEIKFF,"May 31, 2025 @ 01:18:51.268"
added,C:\ProgramData\build.bat,"exec,hidden,write,system","size,group",1151585,733559,"May 12, 2025 @ 21:21:52","May 12, 2025 @ 21:28:54",03abb24c14fc3eb6c06e5e70dff9272062819d9896dc02f7055bdd9a6163423a,cf2e80de9fc2d660f60c59268819ba0fb0989ab38e84a5cf08b895d34d1dbbf2,8893,User2,AMD64,DESKTOP-ALPHA,"May 30, 2025 @ 15:51:34.616"
deleted,C:\Windows\Temp\turn.docx,"read,system,hidden,archive",mode,1996654,2312082,"May 20, 2025 @ 17:35:47","May 20, 2025 @ 17:54:41",8a9ff9cf37b5a0ec05c785b1a5be45179fea4b62e35e78a097ae68b143ff2819,71b36611af3d29daa83000a546a28a1e,5838,User5,arm64,WORKSTATION-01,"May 16, 2025 @ 01:13:33.815"
added,E:\Data\early.exe,"exec,read,archive,hidden",size,542747,120253,"May 12, 2025 @ 16:17:22","May 12, 2025 @ 16:37:15",3510a2f3ae649762095f540bebfcd417,2aecb56714ed4266869ff9ec3d10e477,3953,Admin,AMD64,SERVER-001,"May 31, 2025 @ 11:48:45.275"
added,C:\Users\Public\Videos\growth.pptx,"exec,archive","owner,mode",700480,775430,"May 29, 2025 @ 15:17:22","May 29, 2025 @ 15:30:29",07279334f14295fbb2edb0b73db4979e245520443192ef21fd0ca7883605ceb4,0a480ca4eba5f0b2de65f69868634b01,8350,User1,AMD64,DESKTOP-XYZ,"May 26, 2025 @ 11:06:10.723"
added,C:\Windows\System32\painting.csv,"write,read",group,619637,1020669,"May 15, 2025 @ 02:16:42","May 15, 2025 @ 03:12:24",85238faf63a47da277a80a244caad525d289c856402c40129aeed0070aae7a89,02fddc59f48abd8bff5acc4259f9f5837743065da04a69abb7b65e56835b4bb0,4198,User5,arm64,DESKTOP-5JEIKFF,"May 24, 2025 @ 13:34:16.291"
added,C:\Windows\Temp\yard.bat,"read,archive,write,exec",size,927596,732172,"May 12, 2025 @ 17:53:33","May 12, 2025 @ 17:54:12",2a060726269fe5f109eef3499e5bea8f09d79c022fcdfdfa92b93868f401ea31,2f8c8ce262a70e1832205d81733f3580dc96443f143ecf5155531afe16cd8cd2,6562,Project,AMD64,WORKSTATION-01,"Jun 01, 2025 @ 01:11:03.859"
modified,C:\Windows\Temp\make.zip,"read,write,hidden",group,1041477,825515,"May 02, 2025 @ 07:44:17","May 02, 2025 @ 08:24:03",fa26faf2096c35a6f0bbfa3d7134d2aa,d6c13901c9acbcc84d083d415198fc945e4fb439f9815129213ab2834a65c997,1247,Project,arm64,DESKTOP-ALPHA,"May 25, 2025 @ 14:30:41.664"
modified,C:\Windows\Temp\probably.zip,"write,hidden","group,size",325647,722499,"May 29, 2025 @ 18:22:47","May 29, 2025 @ 18:56:34",187cde7557d802952b9754686d1ac8f286baee7b24424ff7c8e5cb5d67c947ea,4d938664a9d92ef7c37604143aab4902b166e7a96683d114523171d9661ec1b3,4448,Project,x86,LAPTOP-1234,"May 05, 2025 @ 07:06:43.712"
deleted,C:\Users\Project\Documents\himself.csv,"write,archive,exec",group,1362251,1293014,"May 11, 2025 @ 22:41:22","May 11, 2025 @ 23:09:11",19bef29703d980843d999bd1f331718f255f980e32ce48e56d9367e8820cf683,ce70d251765e56a55096592100548da1b92c9fa366685eabcad6b6cebae79ee5,3062,User2,x86_64,LAPTOP-1234,"May 13, 2025 @ 11:10:55.368"
modified,C:\Users\Project\Documents\reach.csv,"exec,system","group,mode",1662049,1495059,"May 25, 2025 @ 16:50:59","May 25, 2025 @ 17:39:39",2897b2ab1195619a2ef31048b139af305cd2cf4ec46f0478fa12ab73697884c2,e84895ca83087d224fa4bd9d853444a7,1003,User6,arm64,DESKTOP-5JEIKFF,"May 31, 2025 @ 10:09:17.263"
added,E:\Data\describe.pdf,"system,write",size,792083,1052153,"May 05, 2025 @ 14:40:29","May 05, 2025 @ 15:04:28",85dc4c653ad162fd6fb9d905b312d196dca281313468eb46bb29446d31269a70,d61e6b6f4cc360fdc7577d40ce8837e6a7ca1f0b295fd0f4566a4901711f9493,7019,Admin,AMD64,DESKTOP-ALPHA,"May 10, 2025 @ 07:30:50.997"
deleted,C:\ProgramData\economic.docx,"archive,write,read",mtime,275002,257778,"May 14, 2025 @ 19:11:18","May 14, 2025 @ 19:45:10",fe046803008097313ad6dfc353fa33272ff4fa4e2053842ae2e2001e3e884e4f,d60f5392031d10901a8eb4777f92b2515c09e8f9448f30839757eb75bc2fb4c4,4605,Admin,AMD64,WORKSTATION-01,"May 09, 2025 @ 09:00:45.994"
deleted,E:\Data\discover.jpg,"hidden,write","size,owner",1214119,1392565,"May 26, 2025 @ 15:06:03","May 26, 2025 @ 15:50:12",ab0c050e71c2268d92453e05cc59f9a67a7bf75e369560361eaeed7e62284dcf,bbdc769d10296b3de4ae0d9430147164,2390,User2,arm64,DESKTOP-5JEIKFF,"May 02, 2025 @ 10:01:01.896"
deleted,C:\Users\User2\Desktop\whether.xlsx,"read,exec,write,archive","size,mode",619379,1072071,"May 17, 2025 @ 00:38:26","May 17, 2025 @ 01:11:38",26177f3c8e086ce130814bf74a6b8bd6,493b3b5498299d69b299cb64520e39eb0571ad24a8f474e61c1a1c866e2852ac,2150,User5,arm64,DESKTOP-ALPHA,"May 24, 2025 @ 18:51:56.883"
deleted,D:\Work\network.dll,"read,write",size,757977,814870,"May 14, 2025 @ 06:43:14","May 14, 2025 @ 07:27:42",6199275dd5f309728de5ef98d3c7cc709fa3f7b4cc14a6861da9455b92d13acf,6e365dcbe29267f1a73fc3e81650a298a302edaf2fa697c7f99f8b935af850ea,8212,Guest,x86,SERVER-BETA,"May 05, 2025 @ 06:46:37.051"
deleted,C:\Users\User1\Downloads\particularly.txt,"write,system,archive","mode,group",1348481,1221929,"May 23, 2025 @ 08:07:00","May 23, 2025 @ 08:11:46",b10aad722fec1d7edf143017b18da00799ec910bc4982fce57c873868aa9bb35,f08f3bbd395bb6ebbaa0461cc03dbd252f736fc7ad6ee7409647a4c9811ae1f1,8798,System,AMD64,HOME-PC,"May 20, 2025 @ 17:02:30.128"
added,C:\Users\Guest\Documents\their.bat,"exec,system,archive","owner,mode",1942301,2047548,"May 07, 2025 @ 16:52:27","May 07, 2025 @ 17:24:24",95280a938f795fdcdafed3334f3401d1dcb249c06facdde859b4270fc618fb1f,8150bc379ad5c2e4d3a2ffece2884110c9d87a554e59ee731dbdb7125883c1b3,6184,User2,arm64,WIN-LAPTOP,"May 10, 2025 @ 18:16:54.398"
deleted,C:\Users\Guest\Documents\party.txt,"exec,read,archive","mode,owner",1094040,1366661,"May 09, 2025 @ 03:26:04","May 09, 2025 @ 04:21:14",55f20dcc203de44377cd140307e1d5a35cd5b9899a55a502c2792a16f22acc37,d20a2c0c698540e67d5fab13d62ca1b0,1898,User4,x86,PC-GAMER,"May 27, 2025 @ 12:28:00.603"
modified,C:\Users\User2\Desktop\capital.bat,"system,hidden,write",group,764917,398583,"May 15, 2025 @ 22:12:34","May 15, 2025 @ 22:48:07",9e1f954d15a1c0bb346ea427ea519b6ab01ef734969800a50fdcd737b33e829b,61b55ecad56fe78535f8fb2b8eed7d8ac89a78a135d88a5885059dd92cce4346,3521,System,x86,DESKTOP-XYZ,"May 17, 2025 @ 05:28:05.863"
modified,E:\Data\place.zip,"archive,exec","group,mtime",1179156,1209340,"May 03, 2025 @ 22:55:55","May 03, 2025 @ 23:49:54",eb569e5cb6c3b3852ab923010920d49f08fa27346e70727595933cb34024d56a,0b991c9abdc27d0264585e75e14b8117,4986,User4,x86,WIN-LAPTOP,"May 31, 2025 @ 00:31:54.766"
modified,C:\Users\Guest\Documents\role.docx,"read,write","mode,owner",172393,1,"May 11, 2025 @ 16:55:40","May 11, 2025 @ 17:47:44",25e340425d01eadddaea83bcb55336fb2cb51b916ce33b1854634684dc670b5a,7557f18bc0769b4ed7e400ca7daf3f621eba30f43aaeee84df18b6fd113ea1c4,9339,Admin,x86,SERVER-BETA,"May 26, 2025 @ 21:07:59.369"
modified,C:\Users\Public\Videos\during.xlsx,"system,archive,hidden","mtime,mode",1425770,937583,"May 20, 2025 @ 22:11:27","May 20, 2025 @ 22:35:54",f6b77fd8f74fb4a94b6fa4169eb8ef847a6bcd907253c3a0c1d196ca1aaacc16,b03493997f5390666ff9b9f8c9079d28ab2d3d316d31c2ee60446ff2fd5d983b,6330,Project,x86,LAPTOP-1234,"May 16, 2025 @ 23:30:21.051"
modified,D:\Work\national.exe,"archive,system,exec","group,mode",483016,303483,"May 30, 2025 @ 14:34:25","May 30, 2025 @ 15:17:56",9f4ec31dc1ae38d239cde64db5522740092dbe9af48e0354a65654c45700175a,8d2c4b016578705c8535da08f2d9e613,5253,Admin,arm64,SERVER-001,"May 07, 2025 @ 03:50:41.244"
deleted,C:\Windows\Temp\Democrat.pptx,"read,hidden,exec","size,mtime",530303,749824,"May 08, 2025 @ 07:58:31","May 08, 2025 @ 08:23:34",345e6eca87505b5aa09b6d11c42ec7918117e2610d6fa3f8799ab4c810fca253,0457a5e833242569e609fec8142592ec6aef48de7723e78624ba36bf6c6a499f,6070,Project,x86_64,PC-GAMER,"May 28, 2025 @ 21:39:39.151"
added,C:\Users\User2\Desktop\item.txt,"write,read",group,685591,222452,"May 11, 2025 @ 19:03:20","May 11, 2025 @ 19:31:47",d8257e8c0c088ba1709b568210759d17f04762fa08f688e058dccc3fcc071011,4b98d62b249b87d4ffcfaa5a0b058c9835d0c2cace18c64e171c487809ea12f8,3849,User6,x86,DESKTOP-5JEIKFF,"May 19, 2025 @ 04:47:06.470"
modified,C:\Users\User1\Downloads\market.zip,"exec,write,hidden",mtime,1605146,1591973,"May 21, 2025 @ 01:13:07","May 21, 2025 @ 01:15:03",f0e2aa6d4db91f988ba01398f80b3733278c594e1339eb1e31abffe5e57d142a,f5686c812e2d4cd325db75d7fd7082c8406501ff4b5f0119fd0f14ccb02fb80f,4948,User4,AMD64,WIN-LAPTOP,"May 18, 2025 @ 19:14:05.938"
deleted,C:\Users\User2\Desktop\data.pptx,"hidden,read,exec,write","owner,mode",1124581,1093797,"May 29, 2025 @ 01:46:20","May 29, 2025 @ 02:18:00",3d49cef6421aac1631fd68001c407c6838e29fccae2fa4ba56ae283225f8b729,3d79c4949db960d550b7baefb01ed4a83d568967ecc244d4e5a1706e32f7f183,2342,User5,AMD64,WORKSTATION-01,"May 27, 2025 @ 06:41:51.373"
added,C:\Windows\System32\cold.docx,"read,system","size,mode",100159,1,"May 28, 2025 @ 12:54:48","May 28, 2025 @ 13:45:02",cb5fab846cbbe7b19444dc977e2f8487b199a89d08867324a0220b5961e5bfc6,781b06bff611be6fe468c31e7848ab7e26120fc7b30b10a1641eba367d830404,9324,Project,x86,HOME-PC,"May 22, 2025 @ 19:00:49.614"
modified,C:\Users\Project\Documents\add.csv,"archive,read,hidden,exec",owner,1948885,1655355,"May 29, 2025 @ 02:39:34","May 29, 2025 @ 03:33:48",68b4e9619a3bd773b26a41fa9b5bada2b03aee02d17283a0528c640db0d05ea8,278e9edefa8f44deaf546fa9c00fdef29aeeef92e6c031ef46e4129079e3906f,5087,Project,x86,PC-GAMER,"May 25, 2025 @ 22:51:05.395"
deleted,C:\Windows\System32\act.exe,"system,exec",owner,1237480,1280592,"May 20, 2025 @ 17:52:45","May 20, 2025 @ 18:40:11",9b85831580eeb73ceacf40ad9fdf7552,b9eccd45d29d85c7effdd5cafa4ca5f04172feab1e8c134742d45f7b894b47ad,1796,User3,AMD64,DESKTOP-ALPHA,"May 13, 2025 @ 07:17:00.573"
modified,D:\Work\long.pptx,"hidden,read,system,archive","group,size",188011,1,"May 28, 2025 @ 12:10:10","May 28, 2025 @ 12:14:46",b4e6ec36bac8443e46c9b6720373f27509f5308e24732106bf50eeb7e963b1a0,f4229d430319fab3297ca9e3ea812a59,1710,User5,arm64,PC-GAMER,"May 26, 2025 @ 05:53:43.465"
deleted,C:\Users\User1\Downloads\case.exe,"read,hidden,system,archive",group,1199681,1615155,"May 10, 2025 @ 07:35:58","May 10, 2025 @ 07:57:58",a8a93db744c792fc9cbe384113c68914,33007753590f5008c632589ba93783de,7290,User2,x86_64,HOME-PC,"May 30, 2025 @ 20:04:09.062"
added,C:\Windows\System32\nice.txt,"write,hidden,read","owner,mode",1028195,1112998,"May 05, 2025 @ 12:45:11","May 05, 2025 @ 13:36:18",465854576548d9ce03ac1dd743629b6599ef2b07699c8a3858488cb7852c284d,5785accb3f25f25b9ac33782c72f17c6,2083,Project,arm64,PC-GAMER,"May 14, 2025 @ 21:47:08.607"
